City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,mombetsu,44.3525,143.3525,18.66,97,100,1.48,JP,1691647843
333,canto do buriti,-8.11,-42.9444,22.32,60,2,3.67,BR,1691647844
334,port-gentil,-0.7193,8.7815,23.98,88,100,2.57,GA,1691647844
335,deming,32.2687,-107.7586,23.94,57,20,0.0,US,1691647845
336,kadinhani,38.2397,32.2114,25.35,62,0,2.31,TR,1691647845
337,mazagao,-0.115,-51.2894,28.03,97,56,1.78,BR,1691647846
338,maryborough,-25.5333,152.7,21.77,41,3,3.29,AU,1691647432
339,dolores,-36.3132,-57.6792,12.39,95,89,3.93,AR,1691647779
340,malmberget,67.1753,20.6549,10.31,87,0,2.06,SE,1691647848
341,rumoi,43.9344,141.6428,28.31,77,92,1.48,JP,1691647848
342,nouadhibou,20.931,-17.0347,20.99,94,40,8.23,MR,1691647848
343,whangarei,-35.7317,174.3239,9.53,86,47,2.43,NZ,1691647849
344,sur,22.5667,59.5289,33.64,50,77,4.05,OM,1691647849
345,shahrak,34.1074,64.3052,22.76,24,0,2.84,AF,1691647850
346,piti village,13.4626,144.6933,29.61,81,20,5.14,GU,1691647850
347,slave lake,55.2834,-114.769,13.99,99,100,2.06,CA,1691647851
348,jiangyou,31.7667,104.7167,31.86,68,41,2.32,CN,1691647851
349,cabo san lucas,22.8909,-109.9124,28.67,78,27,5.25,MX,1691647469
350,spring creek,40.7266,-115.5859,22.94,21,69,2.44,US,1691647852
351,vila franca do campo,37.7167,-25.4333,23.23,94,100,5.3,PT,1691647853
352,zelenogorskiy,55.0333,87.0,20.98,62,86,3.09,RU,1691647853
353,nuuk,64.1835,-51.7216,4.34,100,75,4.02,GL,1691647854
354,carmo do paranaiba,-19.0008,-46.3161,13.75,78,0,1.75,BR,1691647617
355,kuqa,41.7278,82.9364,33.94,14,0,1.35,CN,1691647855
356,kingston,17.997,-76.7936,27.36,91,20,1.14,JM,1691647762
357,howrah,22.5892,88.3103,30.0,79,75,3.09,IN,1691647856
358,lafiagi,8.8667,5.4167,22.81,94,97,1.78,NG,1691647857
359,hede,33.7681,120.2517,30.74,64,0,3.77,CN,1691647857
360,bathsheba,13.2167,-59.5167,28.24,78,100,5.23,BB,1691647858
361,tanout,14.9709,8.8879,26.87,64,100,5.79,NE,1691647858
362,ostashkov,57.1467,33.1075,18.27,53,0,1.55,RU,1691647859
363,trincomalee,8.5711,81.2335,32.3,57,94,2.02,LK,1691647859
